student_id,school,sex,age,geographic_area,family_size,parent_status,mother_education,father_education,commute_time,study_time,num_class_failed,school_support,family_support,tutor,extracurricular,preschool,higher_ed,internet_access,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,m_grade1,m_grade2,m_final_grade,p_grade1,p_grade2,p_final_grade
78,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,>10 hours,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,13,13,13
75,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,4,3,3,2,4,5,54,11,12,11,11,11,11
74,GP,M,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),<15 min.,<2 hours,0,no,no,no,yes,yes,yes,no,5,3,2,2,2,5,2,12,12,14,13,13,14
71,GP,M,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),15 to 30 min.,>10 hours,0,no,yes,yes,no,yes,yes,yes,4,3,2,1,1,5,0,13,15,15,13,11,11
68,GP,F,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),<15 min.,>10 hours,0,yes,yes,yes,no,yes,yes,yes,4,3,3,1,2,5,4,7,7,6,10,9,10
66,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,5,4,3,1,2,1,2,16,15,15,16,15,16
64,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,3,4,4,2,4,4,2,10,9,9,14,13,13
6,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,5,4,2,1,2,5,10,15,15,15,12,12,13
63,GP,F,16,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,1,4,8,10,9,13,13,10
62,GP,F,16,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,5,5,5,5,5,5,6,10,8,11,10,10,16
61,GP,F,16,Rural,Greater than 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,2,4,4,2,3,4,6,10,11,11,17,16,16
60,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,4,2,3,1,1,5,2,15,16,16,16,15,16
26,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,<2 hours,2,no,yes,yes,no,no,yes,yes,1,2,2,1,3,5,14,6,9,8,10,11,12
56,GP,F,16,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),<15 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,12,13,12
51,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,4,3,3,2,3,4,2,12,13,13,14,13,13
48,GP,M,16,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,4,2,2,1,1,2,4,19,19,20,17,17,17
29,GP,M,16,Urban,Less than or equal to 3,Apart,secondary education,higher education,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,5,3,3,1,1,5,4,11,11,11,12,12,13
30,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,12,11,12
35,GP,M,16,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,<15 min.,<2 hours,0,no,yes,yes,no,no,yes,yes,5,4,3,1,1,5,0,12,14,15,12,12,12
47,GP,F,16,Urban,Less than or equal to 3,Apart,secondary education,secondary education,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,2,3,5,1,4,3,12,11,12,11,13,12,13
45,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,4,3,3,2,2,5,14,10,10,9,10,11,11
17,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,3,2,3,1,2,2,6,13,14,14,13,13,14
91,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,9,11,11
87,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,4,3,4,1,2,2,4,8,7,6,13,11,11
24,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,5,4,4,2,4,5,0,13,13,12,10,10,10
20,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,<15 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,3,1,3,1,3,5,4,8,10,10,12,12,12
125,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,12,11,11
124,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,no,yes,no,yes,yes,yes,yes,3,4,4,1,4,5,18,14,11,13,12,13,13
123,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,higher education,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,14,12,13
118,GP,M,16,Urban,Greater than 3,Living together,secondary education,secondary education,15 to 30 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,0,13,14,13,14,14,15
116,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,5,4,4,1,2,5,2,15,15,16,16,14,14
113,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,3,1,2,1,1,5,6,10,13,13,8,10,10
112,GP,F,16,Rural,Greater than 3,Living together,secondary education,secondary education,<15 min.,5 to 10 hours,1,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,2,0,7,10,10,11,11,11
16,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,4,4,4,1,2,2,4,14,14,14,17,17,17
110,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,higher education,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,15,15,14
93,GP,F,16,Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),<15 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,3,3,3,2,3,2,4,7,6,6,12,13,12
108,GP,M,16,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,5,3,3,1,1,5,2,16,18,18,13,14,14
102,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,16,16,16
101,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,yes,yes,yes,yes,yes,yes,yes,4,5,5,5,5,4,14,7,7,5,9,9,8
38,GP,M,16,Rural,Greater than 3,Apart,higher education,higher education,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,13,13,13
100,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,5 to 10 hours,0,yes,yes,yes,no,yes,yes,yes,5,3,5,1,1,3,0,7,9,8,12,13,13
94,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,5,3,3,1,1,1,0,11,10,10,13,14,14
23,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,4,5,1,1,3,5,2,15,15,16,12,13,14
97,GP,M,16,Rural,Greater than 3,Living together,higher education,secondary education,15 to 30 min.,<2 hours,0,yes,yes,no,yes,no,yes,yes,3,3,3,1,1,4,2,11,15,15,9,11,11
7,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,4,4,4,1,1,3,0,12,12,11,13,12,13
98,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,4,3,5,1,1,5,2,8,9,10,13,12,12
130,GP,M,16,Rural,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,3,5,5,2,5,4,8,18,18,18,13,12,13
99,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,no,no,no,yes,no,yes,yes,5,3,4,1,2,1,6,11,14,14,12,13,13
260,GP,F,17,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,>10 hours,0,no,no,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,10,9,0,11,10,10
239,GP,F,17,Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),30 min. to 1 hour,2 to 5 hours,0,no,no,no,yes,yes,yes,no,2,1,1,1,1,3,2,13,11,11,15,16,16
267,GP,M,17,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),<15 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,5,4,4,3,4,5,2,9,9,10,15,14,14
241,GP,M,17,Urban,Less than or equal to 3,Living together,higher education,secondary education,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,2,5,5,1,4,5,14,12,12,12,17,18,17
257,GP,F,17,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,<15 min.,>10 hours,0,no,yes,yes,yes,yes,yes,yes,4,2,3,1,1,4,6,14,12,13,7,8,8
255,GP,M,17,Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),<15 min.,<2 hours,0,no,no,no,no,no,yes,yes,4,4,2,2,4,5,0,8,12,12,9,8,10
242,GP,M,17,Rural,Less than or equal to 3,Apart,higher education,higher education,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,3,3,3,2,3,4,2,10,11,12,10,11,11
264,GP,F,17,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,5 to 10 hours,0,no,no,no,yes,no,yes,no,3,2,3,1,1,4,4,10,9,9,8,7,8
256,GP,M,17,Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),15 to 30 min.,<2 hours,1,no,yes,no,yes,yes,yes,yes,4,4,4,1,2,5,2,7,9,8,8,7,7
8,GP,F,17,Urban,Greater than 3,Apart,higher education,higher education,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,4,1,4,1,1,1,6,6,5,6,10,13,13
247,GP,M,17,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,15 to 30 min.,<2 hours,0,no,no,no,no,yes,yes,yes,5,2,2,1,1,2,4,12,12,13,13,13,13
2,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),<15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,5,3,3,1,1,3,4,5,5,6,9,11,11
133,GP,F,17,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,11,10,11
322,GP,F,17,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,4,2,2,1,1,3,12,11,9,9,13,15,15
323,GP,F,17,Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,3,3,2,2,2,3,3,11,11,11,9,8,10
324,GP,F,17,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),<15 min.,5 to 10 hours,0,no,yes,no,no,no,yes,yes,3,4,3,2,3,5,1,12,14,15,10,10,10
325,GP,F,17,Urban,Less than or equal to 3,Living together,none,5th to 9th grade,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,3,3,3,2,3,2,0,16,15,15,10,10,11
327,GP,M,17,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,<2 hours,0,no,no,no,yes,no,yes,yes,4,3,5,3,5,5,3,14,15,16,13,13,13
328,GP,M,17,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,>1 hour,<2 hours,0,no,yes,no,no,yes,yes,yes,4,4,5,5,5,4,8,11,10,10,17,17,18
329,GP,F,17,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,5,4,4,1,3,4,7,10,9,9,12,13,13
330,GP,F,17,Urban,Greater than 3,Living together,higher education,higher education,15 to 30 min.,5 to 10 hours,0,no,yes,yes,no,no,yes,yes,4,3,3,1,2,4,4,14,14,14,12,12,14
332,GP,F,17,Rural,Greater than 3,Living together,5th to 9th grade,higher education,<15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,4,4,3,1,1,5,7,12,14,14,12,12,12
304,GP,F,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,<15 min.,>10 hours,0,no,yes,yes,yes,no,yes,yes,5,2,2,1,2,5,0,17,17,18,15,12,13
303,GP,F,17,Urban,Greater than 3,Living together,higher education,5th to 9th grade,15 to 30 min.,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,3,0,15,12,14,10,11,12
302,GP,M,17,Urban,Less than or equal to 3,Living together,higher education,higher education,15 to 30 min.,<2 hours,0,no,no,yes,no,yes,yes,yes,4,1,1,2,2,5,0,11,11,10,10,10,11
336,GP,F,17,Urban,Greater than 3,Living together,secondary education,higher education,<15 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,4,4,5,1,3,5,16,16,15,15,17,17,17
338,GP,F,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,4,3,2,2,3,2,0,7,8,0,17,18,18
340,GP,F,17,Rural,Greater than 3,Apart,secondary education,5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,4,3,3,2,3,2,4,9,10,10,14,15,15
296,GP,M,17,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,yes,4,4,3,1,3,5,4,14,12,11,11,13,14
294,GP,F,17,Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),15 to 30 min.,>10 hours,0,no,yes,yes,no,yes,yes,no,3,1,2,1,1,3,6,18,18,18,11,12,14
344,GP,F,17,Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,3,3,1,1,2,4,0,9,8,0,16,17,17
292,GP,F,17,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,4,2,2,1,2,3,0,15,15,15,11,10,11
288,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),<15 min.,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,3,6,13,12,12,9,10,10
285,GP,F,17,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,5,4,5,1,2,5,4,10,9,11,7,8,6
349,GP,F,17,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,13,15,15,16,16,16
282,GP,M,17,Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,<15 min.,<2 hours,1,no,no,no,no,yes,yes,yes,4,4,4,3,4,3,19,11,9,10,11,12,11
281,GP,M,17,Urban,Less than or equal to 3,Apart,higher education,primary education (4th grade),15 to 30 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,4,5,4,2,4,5,30,8,8,8,10,9,10
276,GP,F,17,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,4,4,4,2,3,5,6,12,12,12,12,10,11
275,GP,F,17,Urban,Greater than 3,Living together,5th to 9th grade,higher education,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,1,2,10,10,10,10,9,10
274,GP,M,17,Rural,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,<15 min.,2 to 5 hours,0,no,yes,yes,yes,no,yes,no,3,5,2,2,2,1,2,15,14,14,11,11,11
286,GP,M,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),<15 min.,2 to 5 hours,0,no,no,yes,no,no,yes,yes,4,3,3,1,2,4,2,12,10,11,14,13,12
321,GP,F,17,Urban,Greater than 3,Apart,higher education,secondary education,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,5,2,2,1,2,5,23,13,13,13,14,12,13
19,GP,M,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,<15 min.,<2 hours,3,no,yes,no,yes,yes,yes,yes,5,5,5,2,4,5,16,6,5,5,8,8,7
176,GP,M,17,Urban,Less than or equal to 3,Living together,higher education,secondary education,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,4,4,4,4,4,4,4,10,9,9,7,6,8
206,GP,F,17,Urban,Greater than 3,Living together,secondary education,higher education,<15 min.,5 to 10 hours,1,no,yes,yes,no,yes,yes,yes,4,4,3,3,4,5,28,10,9,9,12,11,12
204,GP,F,17,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,5,3,2,1,2,3,18,7,6,6,9,9,10
203,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),<15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,no,4,4,4,1,3,1,4,9,9,10,12,13,14
199,GP,F,17,Urban,Greater than 3,Living together,higher education,higher education,15 to 30 min.,<2 hours,1,no,yes,no,no,yes,yes,yes,4,2,4,2,3,2,24,18,18,18,14,15,16
319,GP,F,17,Rural,Greater than 3,Living together,secondary education,higher education,<15 min.,5 to 10 hours,0,no,yes,yes,yes,no,yes,yes,4,3,4,2,5,5,0,11,11,10,12,9,10
197,GP,M,17,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,5,2,3,1,2,5,4,17,15,16,17,18,17
161,GP,M,17,Rural,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),15 to 30 min.,<2 hours,2,no,no,no,yes,yes,no,yes,3,3,2,2,2,5,0,7,6,0,11,11,11
196,GP,F,17,Urban,Less than or equal to 3,Living together,5th to 9th grade,higher education,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,4,3,2,1,1,5,0,14,15,15,11,12,13
237,GP,M,17,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,4,4,2,5,5,4,4,14,13,13,13,13,14
210,GP,F,17,Rural,Greater than 3,Living together,higher education,secondary education,15 to 30 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7,7,7,14,15,16
193,GP,M,17,Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,4,4,4,4,5,5,12,7,8,8,10,9,11
190,GP,M,17,Rural,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,no,3,1,3,1,5,3,4,8,9,10,10,11,11
164,GP,M,17,Urban,Greater than 3,Living together,primary education (4th grade),secondary education,<15 min.,<2 hours,0,no,no,no,no,yes,no,yes,5,3,3,1,4,2,2,10,10,10,11,9,0
189,GP,F,17,Urban,Greater than 3,Apart,secondary education,secondary education,<15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,3,3,3,1,3,3,6,8,7,9,14,14,15
186,GP,M,17,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,4,3,4,2,3,4,12,12,12,11,16,17,18
184,GP,F,17,Urban,Less than or equal to 3,Living together,secondary education,secondary education,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,5,3,3,2,3,1,56,9,9,8,16,16,17
165,GP,M,17,Rural,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),>1 hour,2 to 5 hours,3,no,no,no,yes,yes,no,no,5,3,5,1,5,5,0,5,8,7,9,10,10
183,GP,F,17,Urban,Greater than 3,Living together,5th to 9th grade,higher education,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,5,4,2,2,3,5,0,16,17,17,12,12,13
79,GP,M,17,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),15 to 30 min.,<2 hours,3,yes,yes,no,yes,yes,no,yes,4,5,1,1,1,3,2,8,8,10,9,9,10
180,GP,M,17,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,5,2,3,1,1,2,4,10,10,11,8,7,8
178,GP,M,17,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,4,3,4,1,4,4,4,6,5,6,9,8,8
192,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,5,3,3,1,1,3,0,8,8,9,11,9,10
157,GP,M,17,Rural,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,<15 min.,<2 hours,0,no,no,no,no,yes,yes,no,2,2,2,3,3,5,8,16,12,13,12,12,12
119,GP,M,17,Rural,Greater than 3,Living together,primary education (4th grade),secondary education,30 min. to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,5,2,4,1,4,5,20,9,7,8,12,11,11
233,GP,M,17,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,4,5,5,1,3,2,14,11,9,9,12,13,13
232,GP,M,17,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,4,5,2,1,1,1,4,11,11,11,10,10,10
231,GP,F,17,Urban,Less than or equal to 3,Living together,higher education,secondary education,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,14,13,13,14,11,9,10
230,GP,F,17,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,10,12,10,12,14,16,15
137,GP,M,17,Rural,Greater than 3,Living together,secondary education,higher education,30 min. to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,no,5,4,5,2,4,5,0,10,0,0,9,9,11
228,GP,M,17,Urban,Less than or equal to 3,Living together,5th to 9th grade,secondary education,<15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,5,3,3,1,3,3,2,12,11,12,12,11,11
227,GP,F,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,5,3,4,1,3,3,10,16,15,15,13,13,13
222,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),<15 min.,5 to 10 hours,1,no,yes,no,yes,yes,yes,no,4,3,4,1,1,5,0,6,5,0,14,15,15
221,GP,F,17,Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,4,2,5,1,2,5,2,6,6,6,11,11,12
212,GP,M,17,Urban,Less than or equal to 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,5,3,5,4,5,3,13,12,12,13,10,11,12
220,GP,F,17,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,4,3,3,1,1,4,4,9,10,10,8,9,8
173,GP,M,17,Urban,Less than or equal to 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,4,4,4,1,3,5,0,13,11,10,10,10,1
219,GP,F,17,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,15 to 30 min.,<2 hours,0,no,yes,yes,no,yes,yes,no,3,3,3,1,4,3,3,7,7,8,13,13,13
145,GP,M,17,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),<15 min.,<2 hours,3,no,yes,no,no,yes,yes,yes,5,4,5,1,2,5,0,5,0,0,12,11,11
217,GP,F,17,Urban,Greater than 3,Living together,higher education,secondary education,<15 min.,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,3,4,5,2,4,1,22,6,6,4,14,15,15
216,GP,F,17,Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,15 to 30 min.,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,4,4,4,1,3,1,2,14,15,15,11,12,12
155,GP,F,17,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,no,4,2,1,1,1,4,0,11,11,12,10,11,11
215,GP,F,17,Rural,Less than or equal to 3,Living together,higher education,higher education,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,no,5,2,1,1,2,3,12,8,10,10,14,14,15
342,GP,M,18,Urban,Greater than 3,Living together,higher education,higher education,<15 min.,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,4,3,3,2,2,2,0,10,10,0,14,13,13
339,GP,F,18,Urban,Less than or equal to 3,Living together,secondary education,secondary education,<15 min.,>10 hours,0,no,yes,no,no,yes,yes,yes,5,3,3,1,1,1,7,16,15,17,18,19,19
333,GP,F,18,Urban,Greater than 3,Living together,secondary education,secondary education,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,5,3,4,1,1,4,0,7,0,0,18,18,18
334,GP,F,18,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,4,3,3,1,1,2,0,8,8,0,13,13,14
335,GP,F,18,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,15 to 30 min.,>10 hours,0,no,no,no,yes,yes,yes,no,4,4,4,1,1,4,0,10,9,0,14,15,15
